category,name,price,description,veg_nonveg,spice_level,restaurant name,location,contact,operating hour,dining rating,delivery rating
YuMum,Chole Rice Bowl,₹159,"Indulge in our flavorful Chole Rice, where tender chickpeas simmered in aromatic spices meet fluffy rice, creating a satisfying meal that's both comforting and delicious. Perfectly paired for a hearty lunch or dinner, this classic dish is a favorite for its rich flavors and simplicity. Dive into a bowl of Chole Rice and experience the essence of Indian cuisine in every bite.",Veg,Normal,Foodbay,"Civil Lines, Roorkee Locality, Roorkee",+919720223366,10:00 AM - 11:00 PM,0,3.6
YuMum,Dal Makhani With Rice Bowl,₹169,A warm and comforting bowl of creamy dal makhani rice served with a side of crispy papadum and fresh salad.,Veg,Normal,Foodbay,"Civil Lines, Roorkee Locality, Roorkee",+919720223366,10:00 AM - 11:00 PM,0,3.6
YuMum,Kadhi Rice Bowl,₹159,"A flavourful rice bowl with a tangy and creamy sauce, made with rice, vegetables and spices. A perfect choice for a hearty meal.",Veg,Normal,Foodbay,"Civil Lines, Roorkee Locality, Roorkee",+919720223366,10:00 AM - 11:00 PM,0,3.6
YuMum,Kashmiri Pulao With Pineapple Raita,₹249,[Veg preparation] A flavorful rice dish cooked with fragrant spices and tender pieces of chicken and potatoes with accompanied by a refreshing side of pineapple raita.,Veg,Normal,Foodbay,"Civil Lines, Roorkee Locality, Roorkee",+919720223366,10:00 AM - 11:00 PM,0,3.6
YuMum,Rajma With Rice,₹159,"A luscious, creamy beverage made with the rich and decadent flavors of saffron and almonds. A comforting beverage perfect for a soothing evening.",Veg,Normal,Foodbay,"Civil Lines, Roorkee Locality, Roorkee",+919720223366,10:00 AM - 11:00 PM,0,3.6
YuMum,Shahi Paneer With Rice,₹189,A delectable dish of soft and creamy paneer cooked with aromatic spices and basmati rice.,Veg,Normal,Foodbay,"Civil Lines, Roorkee Locality, Roorkee",+919720223366,10:00 AM - 11:00 PM,0,3.6
YuMum,Veg Biryani With Raita,₹249,A perfect blend of rich flavors and aromatic spices our veg.,Veg,Normal,Foodbay,"Civil Lines, Roorkee Locality, Roorkee",+919720223366,10:00 AM - 11:00 PM,0,3.6
YuMum,Yellow Dal With Rice,₹159,A fragrant and flavorful rice dish with a creamy texture and a bright yellow color from the turmeric. Perfect for a comforting meal.,Veg,Normal,Foodbay,"Civil Lines, Roorkee Locality, Roorkee",+919720223366,10:00 AM - 11:00 PM,0,3.6
YuMum,Deluxe Thali,₹249,Dal Makhani+Veg Mixed+Butter Naan+Lachha Paratha+Salad,Veg,Normal,Foodbay,"Civil Lines, Roorkee Locality, Roorkee",+919720223366,10:00 AM - 11:00 PM,0,3.6
YuMum,Premium Thali,₹329,Dal Handi+Kadhai Paneer+Veg Mixed+Butter Naan+Lachha Prantha+Boondi Raita+Salad+Papad,Veg,Normal,Foodbay,"Civil Lines, Roorkee Locality, Roorkee",+919720223366,10:00 AM - 11:00 PM,0,3.6
YuMum,Yumum Special Thali,₹389,Dal Makhani+Shahi Paneer+Veg Jalfrazi+Chana Masala+Veg Pulao+Cheese Naan+Lachha Paratha+Pineapple Raita+Salad+Papad+Gulab Jamun,Veg,Normal,Foodbay,"Civil Lines, Roorkee Locality, Roorkee",+919720223366,10:00 AM - 11:00 PM,0,3.6
YuMum,Aloo With 4 Poori And Boondi Raita,₹229,"A classic combo of potato curry, crispy poori and sweet and sour raita, makes for a wholesome meal.",Veg,Normal,Foodbay,"Civil Lines, Roorkee Locality, Roorkee",+919720223366,10:00 AM - 11:00 PM,0,3.6
YuMum,Dal Makhani With 2 Baby Naan,₹239,"A rich and creamy classic Indian dish made with lentils and spices. Its a perfect blend of creamy and spicy flavors,",Veg,Spicy,Foodbay,"Civil Lines, Roorkee Locality, Roorkee",+919720223366,10:00 AM - 11:00 PM,0,3.6
YuMum,Kadhai Paneer With 2 Baby Naan,₹249,Kadhai Paneer+2 Baby Naan+Salad [Subject to Availability] [A luscious and creamy dish of tender paneer and vegetables in a rich kadhai gravy],Veg,Normal,Foodbay,"Civil Lines, Roorkee Locality, Roorkee",+919720223366,10:00 AM - 11:00 PM,0,3.6
YuMum,Chole With 2 Amritsari Naan,₹249,Enjoy a rich and spicy chole paired with amritsarian naan and perfect for a hearty meal.,Veg,Spicy,Foodbay,"Civil Lines, Roorkee Locality, Roorkee",+919720223366,10:00 AM - 11:00 PM,0,3.6
